name,age,movie,popcorn,snack,drink,times,payment
이지민,20,도그맨,카라멜,구매안함,스프라이트,일반,삼성페이
김도현,20,윙카,일반,구매안함,콜라,일반,삼성페이
박지영,30,시민덕희,구매안함,구매안함,구매안함,일반,삼성페이
김숙자,40,윙카,일반,구매안함,에이드,심야,신용카드
류재현,30,시민덕희,일반,구매안함,에이드,조조,신용카드
권성현,50,윙카,구매안함,핫도그,물,심야,신용카드
신정자,60,윙카,구매안함,오징어,제로콜라,일반,신용카드
최민준,30,너의 이름은,어니언,구매안함,제로콜라,조조,삼성페이
오혜진,20,외계인,치즈,구매안함,아메리카노,일반,삼성페이
서성수,60,시민덕희,구매안함,나초,물,일반,삼성페이
강우진,20,윙카,구매안함,핫도그,물,조조,신용카드
김순옥,40,시민덕희,카라멜,나초,물,일반,신용카드
허동현,20,윙카,구매안함,구매안함,제로콜라,일반,삼성페이
하지아,40,윙카,일반,오징어,콜라,심야,체크카드
김영미,60,윙카,구매안함,나초,에이드,일반,카카오페이
김옥자,40,시민덕희,카라멜,구매안함,콜라,일반,삼성페이
이지연,50,윙카,카라멜,구매안함,제로콜라,일반,삼성페이
김수진,20,시민덕희,구매안함,맛밤,물,일반,신용카드
김서윤,20,위시,일반,구매안함,에이드,일반,삼성페이
이선영,30,시민덕희,일반,구매안함,환타,일반,삼성페이
한준혁,30,너의 이름은,일반,구매안함,구매안함,일반,삼성페이
이정호,20,윙카,구매안함,구매안함,제로콜라,일반,삼성페이
윤지은,40,외계인,구매안함,구매안함,콜라,일반,신용카드
유미영,20,위시,구매안함,핫도그,환타,일반,카카오페이
강정식,40,윙카,일반,나초,제로콜라,일반,삼성페이
이민지,20,윙카,일반,구매안함,스프라이트,조조,신용카드
황정남,20,윙카,치즈,구매안함,물,일반,신용카드
김준영,20,너의 이름은,구매안함,나초,구매안함,조조,삼성페이
류예지,20,윙카,일반,구매안함,스프라이트,조조,체크카드
김서영,20,시민덕희,구매안함,나초,에이드,일반,체크카드
최재호,30,너의 이름은,구매안함,구매안함,제로콜라,조조,삼성페이
조영환,20,외계인,구매안함,구매안함,아메리카노,조조,삼성페이
임영일,50,위시,일반,구매안함,환타,일반,카카오페이
손현준,60,위시,구매안함,구매안함,물,일반,삼성페이
김은정,50,윙카,치즈,나초,물,조조,신용카드
이미경,20,너의 이름은,어니언,구매안함,에이드,조조,신용카드
남은주,40,윙카,구매안함,나초,콜라,조조,현금
김윤서,30,외계인,구매안함,나초,제로콜라,일반,체크카드
김경희,40,너의 이름은,카라멜,나초,에이드,일반,신용카드
이윤서,40,시민덕희,치즈,구매안함,물,일반,삼성페이
이영숙,20,윙카,치즈,구매안함,물,일반,신용카드
황상훈,20,시민덕희,구매안함,구매안함,물,심야,삼성페이
오은정,20,시민덕희,치즈,오징어,스프라이트,일반,삼성페이
김명숙,60,시민덕희,일반,구매안함,구매안함,일반,삼성페이
강경희,30,도그맨,구매안함,구매안함,물,일반,신용카드
김보람,20,시민덕희,일반,맛밤,제로콜라,일반,현금
이옥순,20,도그맨,치즈,구매안함,스프라이트,일반,신용카드
김상훈,60,시민덕희,구매안함,구매안함,물,일반,신용카드
박경수,40,윙카,일반,나초,콜라,조조,삼성페이
김도현,30,도그맨,구매안함,나초,환타,조조,신용카드
민현주,20,도그맨,치즈,구매안함,물,심야,신용카드
김지아,20,시민덕희,치즈,구매안함,물,일반,신용카드
김하윤,50,시민덕희,구매안함,나초,콜라,조조,삼성페이
민정호,40,시민덕희,일반,구매안함,환타,조조,삼성페이
이유진,20,시민덕희,구매안함,구매안함,구매안함,일반,삼성페이
이영환,20,너의 이름은,일반,나초,아메리카노,일반,신용카드
안미경,20,위시,구매안함,구매안함,물,일반,삼성페이
이영미,30,시민덕희,구매안함,핫도그,스프라이트,일반,신용카드
김서윤,20,윙카,구매안함,구매안함,구매안함,일반,신용카드
이은영,20,시민덕희,일반,구매안함,제로콜라,일반,신용카드
김아름,30,너의 이름은,어니언,핫도그,물,조조,신용카드
강영수,30,너의 이름은,치즈,구매안함,제로콜라,일반,신용카드
조민수,40,윙카,일반,구매안함,물,일반,삼성페이
김상훈,30,너의 이름은,구매안함,핫도그,스프라이트,일반,삼성페이
강현준,20,시민덕희,구매안함,구매안함,물,조조,삼성페이
김정웅,20,윙카,구매안함,구매안함,물,조조,삼성페이
이현우,20,외계인,구매안함,핫도그,제로콜라,일반,체크카드
나하윤,20,위시,구매안함,구매안함,에이드,일반,삼성페이
이정웅,40,외계인,치즈,구매안함,에이드,일반,신용카드
이순자,50,시민덕희,일반,구매안함,제로콜라,일반,삼성페이
서민석,60,너의 이름은,구매안함,구매안함,구매안함,일반,신용카드
이영일,30,윙카,구매안함,나초,스프라이트,일반,신용카드
김도윤,20,윙카,어니언,나초,콜라,심야,신용카드
고병철,20,위시,구매안함,오징어,아메리카노,일반,신용카드
이영식,50,도그맨,구매안함,핫도그,아메리카노,조조,신용카드
조은주,20,너의 이름은,카라멜,핫도그,에이드,일반,삼성페이
손준호,30,외계인,구매안함,나초,물,조조,삼성페이
박정순,20,너의 이름은,카라멜,구매안함,제로콜라,조조,신용카드
김예은,20,시민덕희,어니언,구매안함,환타,일반,삼성페이
이지우,20,시민덕희,일반,나초,제로콜라,심야,신용카드
박준서,30,외계인,치즈,맛밤,환타,일반,신용카드
김재호,30,외계인,구매안함,나초,콜라,일반,체크카드
이민석,30,윙카,일반,맛밤,구매안함,일반,신용카드
한도윤,30,윙카,구매안함,구매안함,콜라,일반,삼성페이
오우진,40,도그맨,카라멜,맛밤,스프라이트,일반,현금
이서영,20,시민덕희,카라멜,구매안함,제로콜라,일반,체크카드
김서연,30,너의 이름은,구매안함,핫도그,스프라이트,심야,삼성페이
노경자,60,위시,어니언,구매안함,환타,일반,삼성페이
강준혁,30,외계인,구매안함,나초,물,일반,삼성페이
심예원,50,시민덕희,구매안함,구매안함,환타,일반,신용카드
김준영,40,윙카,치즈,구매안함,물,일반,삼성페이
이정수,20,도그맨,어니언,구매안함,아메리카노,일반,삼성페이
김성훈,20,외계인,어니언,구매안함,환타,조조,삼성페이
장숙자,20,너의 이름은,치즈,구매안함,제로콜라,일반,삼성페이
이영길,20,시민덕희,구매안함,구매안함,콜라,일반,신용카드
박민준,30,외계인,구매안함,구매안함,아메리카노,일반,삼성페이
김미경,30,윙카,어니언,나초,에이드,일반,신용카드
박진우,30,시민덕희,구매안함,구매안함,스프라이트,일반,신용카드
이유진,30,윙카,구매안함,핫도그,스프라이트,일반,삼성페이
김예은,20,윙카,카라멜,맛밤,물,조조,신용카드
지은경,40,윙카,어니언,구매안함,아메리카노,일반,삼성페이
한지우,40,윙카,어니언,구매안함,콜라,일반,삼성페이
이정식,20,시민덕희,구매안함,나초,콜라,일반,체크카드
김정숙,20,윙카,구매안함,구매안함,환타,일반,삼성페이
황현준,20,시민덕희,카라멜,나초,물,일반,체크카드
노준혁,20,외계인,구매안함,구매안함,환타,심야,삼성페이
김상호,40,윙카,일반,구매안함,물,심야,삼성페이
한상호,50,윙카,구매안함,나초,물,심야,삼성페이
민준혁,60,윙카,어니언,구매안함,구매안함,일반,신용카드
김예준,60,윙카,카라멜,핫도그,환타,일반,카카오페이
장미영,40,시민덕희,어니언,구매안함,콜라,조조,체크카드
임상철,40,시민덕희,치즈,구매안함,물,일반,체크카드
김지민,40,윙카,구매안함,오징어,물,일반,신용카드
정하은,40,너의 이름은,치즈,구매안함,아메리카노,일반,삼성페이
김민준,60,도그맨,구매안함,핫도그,물,일반,삼성페이
이정숙,30,윙카,카라멜,나초,제로콜라,일반,신용카드
양은주,30,윙카,카라멜,구매안함,콜라,일반,삼성페이
송성수,20,윙카,일반,구매안함,에이드,일반,삼성페이
안민지,30,윙카,치즈,구매안함,물,일반,삼성페이
백재호,60,윙카,구매안함,구매안함,제로콜라,심야,삼성페이
이정자,20,위시,카라멜,나초,에이드,일반,삼성페이
이경수,20,시민덕희,구매안함,구매안함,콜라,일반,삼성페이
엄지은,50,도그맨,구매안함,구매안함,물,조조,신용카드
이상철,40,시민덕희,카라멜,구매안함,아메리카노,일반,삼성페이
이현준,20,윙카,치즈,나초,에이드,일반,삼성페이
이민수,20,윙카,구매안함,구매안함,환타,일반,신용카드
이지원,30,위시,구매안함,나초,에이드,일반,삼성페이
진도윤,20,윙카,구매안함,구매안함,제로콜라,심야,신용카드
김주원,30,시민덕희,구매안함,나초,제로콜라,조조,체크카드
안춘자,50,위시,구매안함,구매안함,환타,일반,삼성페이
최영수,30,도그맨,구매안함,구매안함,물,일반,삼성페이
이하은,20,너의 이름은,치즈,나초,콜라,심야,삼성페이
송정호,30,도그맨,일반,핫도그,제로콜라,일반,현금
배정호,30,윙카,구매안함,오징어,환타,일반,삼성페이
장보람,20,윙카,구매안함,구매안함,스프라이트,심야,신용카드
김준영,40,윙카,일반,맛밤,구매안함,일반,삼성페이
김동현,20,윙카,구매안함,오징어,구매안함,조조,신용카드
권민석,50,너의 이름은,카라멜,구매안함,스프라이트,일반,삼성페이
이영길,20,위시,구매안함,구매안함,제로콜라,조조,신용카드
서성훈,20,시민덕희,구매안함,나초,물,일반,삼성페이
류중수,30,외계인,어니언,구매안함,제로콜라,일반,삼성페이
민건우,40,시민덕희,구매안함,나초,에이드,일반,체크카드
최정남,20,외계인,구매안함,구매안함,환타,조조,신용카드
허성현,30,외계인,구매안함,맛밤,콜라,조조,삼성페이
이지우,40,윙카,치즈,구매안함,구매안함,일반,삼성페이
강영호,20,시민덕희,일반,구매안함,아메리카노,일반,신용카드
서혜진,40,시민덕희,일반,나초,물,조조,신용카드
박예은,20,위시,구매안함,구매안함,구매안함,심야,신용카드
김현주,20,윙카,치즈,구매안함,스프라이트,심야,삼성페이
박지원,60,윙카,카라멜,오징어,스프라이트,일반,삼성페이
한정순,30,외계인,구매안함,핫도그,물,일반,삼성페이
박영식,20,윙카,카라멜,구매안함,물,조조,체크카드
장미영,20,시민덕희,어니언,나초,물,일반,체크카드
최영진,20,윙카,구매안함,구매안함,환타,일반,체크카드
이현정,50,시민덕희,일반,구매안함,물,일반,삼성페이
이순자,30,윙카,구매안함,구매안함,구매안함,일반,삼성페이
이정훈,30,위시,구매안함,구매안함,에이드,조조,체크카드
이동현,20,시민덕희,구매안함,구매안함,콜라,일반,현금
박경자,40,위시,일반,구매안함,물,일반,삼성페이
곽예진,30,윙카,일반,나초,아메리카노,심야,삼성페이
이지현,20,위시,일반,핫도그,물,일반,신용카드
김지은,30,외계인,구매안함,핫도그,아메리카노,조조,삼성페이
김은정,30,외계인,구매안함,오징어,콜라,일반,신용카드
양영자,20,위시,구매안함,나초,에이드,일반,신용카드
박서현,30,시민덕희,구매안함,구매안함,스프라이트,일반,삼성페이
김준서,20,시민덕희,일반,맛밤,물,조조,삼성페이
김상철,20,위시,구매안함,구매안함,제로콜라,조조,삼성페이
장예진,30,도그맨,구매안함,오징어,물,일반,신용카드
류옥순,40,윙카,일반,구매안함,콜라,일반,신용카드
김영일,20,윙카,어니언,구매안함,제로콜라,조조,삼성페이
이지후,30,윙카,일반,오징어,제로콜라,일반,카카오페이
최영숙,60,윙카,치즈,맛밤,물,일반,체크카드
이정순,30,위시,일반,오징어,물,일반,체크카드
류경희,20,윙카,구매안함,구매안함,물,조조,삼성페이
김수빈,20,외계인,구매안함,핫도그,콜라,일반,체크카드
최수민,50,너의 이름은,일반,구매안함,제로콜라,조조,삼성페이
서하윤,40,윙카,일반,구매안함,제로콜라,일반,신용카드
김미정,20,윙카,구매안함,구매안함,에이드,일반,삼성페이
김민재,30,외계인,치즈,핫도그,구매안함,일반,삼성페이
김옥자,40,시민덕희,구매안함,구매안함,물,일반,신용카드
류미경,40,너의 이름은,구매안함,구매안함,아메리카노,조조,삼성페이
안성훈,20,위시,치즈,구매안함,콜라,일반,삼성페이
김정수,20,윙카,구매안함,구매안함,콜라,일반,삼성페이
김광수,30,도그맨,치즈,구매안함,제로콜라,일반,삼성페이
박정웅,20,너의 이름은,일반,구매안함,아메리카노,조조,신용카드
최은정,20,윙카,구매안함,구매안함,아메리카노,심야,삼성페이
김미정,30,위시,구매안함,나초,제로콜라,일반,체크카드
이광수,20,시민덕희,구매안함,구매안함,콜라,조조,신용카드
김서준,30,시민덕희,구매안함,나초,제로콜라,일반,신용카드
김민서,30,위시,구매안함,오징어,물,조조,신용카드
최예지,40,윙카,카라멜,오징어,콜라,조조,삼성페이
김예지,30,윙카,구매안함,핫도그,물,일반,삼성페이
권수진,20,윙카,카라멜,구매안함,환타,일반,신용카드
김승민,20,시민덕희,카라멜,나초,물,일반,신용카드
성상호,40,시민덕희,구매안함,구매안함,스프라이트,일반,신용카드
김준영,20,너의 이름은,구매안함,핫도그,물,일반,삼성페이
김상훈,20,시민덕희,일반,핫도그,물,일반,체크카드
하현주,30,위시,구매안함,구매안함,구매안함,일반,삼성페이
장옥자,30,시민덕희,구매안함,구매안함,아메리카노,일반,삼성페이
장상현,50,시민덕희,구매안함,구매안함,콜라,조조,삼성페이
심유진,20,외계인,구매안함,나초,에이드,일반,체크카드
김상현,50,시민덕희,카라멜,구매안함,환타,일반,신용카드
이하윤,50,시민덕희,구매안함,나초,콜라,조조,삼성페이
박예원,20,너의 이름은,구매안함,구매안함,아메리카노,조조,삼성페이
이정호,60,윙카,치즈,구매안함,아메리카노,조조,삼성페이
엄예준,30,윙카,구매안함,구매안함,스프라이트,심야,신용카드
우은경,30,외계인,구매안함,구매안함,물,일반,현금
이준서,20,윙카,일반,구매안함,제로콜라,일반,신용카드
장명숙,30,도그맨,카라멜,구매안함,에이드,일반,신용카드
박미정,20,시민덕희,카라멜,오징어,환타,일반,신용카드
이영수,50,윙카,카라멜,구매안함,제로콜라,심야,신용카드
이재호,40,도그맨,어니언,구매안함,환타,조조,삼성페이
박숙자,30,윙카,일반,오징어,에이드,일반,현금
이은주,40,윙카,일반,구매안함,제로콜라,일반,삼성페이
김영진,20,너의 이름은,구매안함,구매안함,환타,일반,카카오페이
박주원,40,시민덕희,일반,구매안함,제로콜라,일반,삼성페이
박명자,40,시민덕희,일반,나초,아메리카노,일반,삼성페이
서영진,50,윙카,구매안함,구매안함,에이드,조조,신용카드
배영철,40,시민덕희,구매안함,구매안함,제로콜라,일반,신용카드
김보람,30,외계인,치즈,구매안함,에이드,일반,현금
김영순,40,시민덕희,구매안함,구매안함,환타,일반,삼성페이
안경수,50,너의 이름은,일반,나초,콜라,일반,체크카드
권재호,50,윙카,구매안함,구매안함,에이드,조조,신용카드
김예은,30,도그맨,일반,나초,물,일반,삼성페이
손현지,20,윙카,구매안함,구매안함,콜라,일반,삼성페이
박승현,30,윙카,구매안함,구매안함,에이드,심야,카카오페이
오영길,20,도그맨,일반,구매안함,에이드,일반,신용카드
주미영,30,시민덕희,일반,구매안함,환타,일반,삼성페이
이순자,20,외계인,구매안함,구매안함,물,일반,삼성페이
서현준,30,도그맨,구매안함,오징어,제로콜라,일반,삼성페이
배수빈,30,윙카,치즈,구매안함,콜라,일반,삼성페이
이옥자,20,윙카,어니언,핫도그,물,심야,체크카드
최상호,40,시민덕희,구매안함,구매안함,에이드,조조,삼성페이
김민재,30,위시,구매안함,구매안함,스프라이트,일반,신용카드
박아름,50,윙카,카라멜,구매안함,구매안함,일반,체크카드
김은경,20,시민덕희,카라멜,핫도그,에이드,일반,삼성페이
김상훈,50,시민덕희,카라멜,맛밤,제로콜라,조조,체크카드
고상현,30,윙카,구매안함,구매안함,구매안함,조조,삼성페이
김성훈,20,외계인,구매안함,나초,물,일반,체크카드
손경숙,30,위시,일반,나초,제로콜라,일반,신용카드
이재호,60,위시,일반,구매안함,구매안함,조조,삼성페이
이순옥,60,위시,카라멜,구매안함,구매안함,일반,삼성페이
김영일,40,도그맨,어니언,구매안함,제로콜라,일반,삼성페이
서시우,20,시민덕희,일반,오징어,제로콜라,일반,삼성페이
박지후,20,위시,구매안함,핫도그,스프라이트,일반,삼성페이
이주원,20,시민덕희,구매안함,구매안함,구매안함,일반,삼성페이
안정훈,40,윙카,치즈,구매안함,스프라이트,조조,삼성페이
김유진,20,윙카,구매안함,구매안함,에이드,일반,체크카드
이정순,30,도그맨,어니언,구매안함,콜라,일반,삼성페이
이승현,30,외계인,어니언,오징어,물,일반,체크카드
신현우,30,도그맨,일반,구매안함,에이드,일반,삼성페이
박지민,20,윙카,일반,구매안함,스프라이트,일반,신용카드
황은경,60,시민덕희,구매안함,핫도그,물,일반,삼성페이
김은경,50,위시,구매안함,나초,콜라,일반,삼성페이
김병철,30,시민덕희,일반,구매안함,구매안함,심야,신용카드
최지현,20,윙카,일반,나초,아메리카노,일반,삼성페이
강정숙,20,외계인,어니언,나초,물,일반,신용카드
이재현,50,시민덕희,카라멜,나초,환타,일반,삼성페이
나예은,20,도그맨,구매안함,구매안함,구매안함,일반,신용카드
이성수,40,윙카,카라멜,구매안함,제로콜라,일반,현금
최정자,30,윙카,어니언,구매안함,아메리카노,일반,삼성페이
이미경,20,위시,일반,맛밤,물,일반,삼성페이
유경숙,20,너의 이름은,일반,맛밤,스프라이트,조조,삼성페이
김상철,30,윙카,치즈,구매안함,에이드,일반,체크카드
박서현,50,시민덕희,구매안함,구매안함,제로콜라,일반,신용카드
김수민,40,윙카,구매안함,구매안함,스프라이트,일반,삼성페이
이정웅,30,너의 이름은,구매안함,오징어,에이드,일반,삼성페이
이준혁,30,도그맨,어니언,구매안함,콜라,일반,삼성페이
양채원,60,윙카,구매안함,구매안함,환타,일반,신용카드
문숙자,40,시민덕희,치즈,구매안함,스프라이트,심야,삼성페이
김예은,20,윙카,구매안함,핫도그,콜라,일반,신용카드
김승현,20,너의 이름은,구매안함,핫도그,스프라이트,일반,신용카드
이정희,20,시민덕희,카라멜,핫도그,구매안함,일반,체크카드
이숙자,20,도그맨,카라멜,구매안함,물,심야,삼성페이
김진우,50,윙카,일반,구매안함,물,일반,삼성페이
김민준,20,시민덕희,구매안함,구매안함,콜라,조조,체크카드
박진호,20,도그맨,구매안함,나초,스프라이트,조조,카카오페이
이민석,20,윙카,일반,구매안함,아메리카노,일반,삼성페이
주승현,20,도그맨,일반,구매안함,구매안함,일반,삼성페이
지영일,40,도그맨,구매안함,구매안함,아메리카노,조조,현금
강영수,20,윙카,치즈,구매안함,물,일반,체크카드
김성현,30,윙카,일반,구매안함,콜라,일반,삼성페이
김채원,60,위시,일반,나초,스프라이트,일반,삼성페이
박서영,50,도그맨,치즈,나초,구매안함,조조,삼성페이
나성민,40,외계인,일반,나초,구매안함,일반,삼성페이
이아름,20,위시,일반,맛밤,스프라이트,조조,삼성페이
이승민,20,시민덕희,구매안함,구매안함,구매안함,일반,체크카드
송보람,50,위시,어니언,구매안함,환타,일반,삼성페이
강병철,40,윙카,구매안함,구매안함,물,조조,삼성페이
박서준,20,시민덕희,구매안함,구매안함,환타,조조,카카오페이
문영일,20,위시,일반,핫도그,환타,일반,신용카드
박광수,20,윙카,구매안함,구매안함,물,일반,신용카드
이현우,60,윙카,어니언,구매안함,물,일반,삼성페이
김도현,20,윙카,일반,구매안함,물,심야,체크카드
김재현,30,위시,구매안함,맛밤,제로콜라,조조,삼성페이
윤현주,60,윙카,치즈,구매안함,환타,일반,체크카드
김지연,50,외계인,구매안함,구매안함,제로콜라,심야,체크카드
김진우,20,시민덕희,일반,나초,아메리카노,조조,현금
조정호,20,도그맨,일반,구매안함,제로콜라,심야,체크카드
백준혁,20,윙카,카라멜,구매안함,에이드,일반,신용카드
김서연,20,시민덕희,구매안함,구매안함,콜라,일반,삼성페이
정미경,50,도그맨,일반,구매안함,물,일반,신용카드
박영철,60,도그맨,구매안함,구매안함,에이드,일반,삼성페이
이서준,30,윙카,구매안함,오징어,물,일반,신용카드
심서윤,50,너의 이름은,치즈,핫도그,물,조조,체크카드
조윤서,20,위시,구매안함,구매안함,환타,일반,삼성페이
이도윤,30,도그맨,일반,구매안함,제로콜라,심야,체크카드
진성훈,40,외계인,일반,나초,환타,일반,삼성페이
이영식,30,외계인,치즈,구매안함,물,일반,삼성페이
강병철,20,너의 이름은,구매안함,핫도그,콜라,일반,현금
이경수,40,시민덕희,구매안함,핫도그,스프라이트,조조,신용카드
이재호,50,시민덕희,구매안함,구매안함,스프라이트,조조,체크카드
김지후,50,위시,어니언,구매안함,제로콜라,심야,현금
서경수,40,시민덕희,구매안함,구매안함,제로콜라,조조,신용카드
김서연,30,시민덕희,구매안함,나초,제로콜라,일반,체크카드
이정희,30,외계인,치즈,구매안함,구매안함,일반,신용카드
김지은,20,윙카,일반,구매안함,아메리카노,조조,체크카드
서명숙,30,시민덕희,구매안함,구매안함,물,일반,삼성페이
차영호,40,너의 이름은,구매안함,나초,제로콜라,일반,신용카드
손영진,20,위시,어니언,구매안함,콜라,일반,현금
안예은,20,윙카,구매안함,구매안함,콜라,조조,신용카드
배서현,30,윙카,구매안함,핫도그,콜라,조조,체크카드
김은정,30,외계인,어니언,오징어,스프라이트,일반,신용카드
김현준,30,외계인,구매안함,나초,환타,일반,삼성페이
이성민,60,너의 이름은,일반,구매안함,물,조조,삼성페이
송정수,30,윙카,어니언,구매안함,콜라,일반,삼성페이
심정자,20,시민덕희,어니언,구매안함,제로콜라,심야,삼성페이
김민지,20,너의 이름은,구매안함,구매안함,환타,일반,삼성페이
홍영호,20,윙카,치즈,핫도그,제로콜라,일반,신용카드
양민서,40,시민덕희,구매안함,맛밤,구매안함,일반,카카오페이
지영미,30,너의 이름은,카라멜,구매안함,아메리카노,조조,삼성페이
김지은,20,도그맨,어니언,나초,환타,일반,삼성페이
이민석,20,윙카,구매안함,구매안함,물,조조,삼성페이
박영식,20,윙카,구매안함,핫도그,스프라이트,일반,신용카드
김도윤,20,외계인,카라멜,핫도그,스프라이트,심야,삼성페이
김서윤,20,외계인,구매안함,구매안함,물,일반,신용카드
이수빈,20,윙카,일반,구매안함,구매안함,일반,삼성페이
박지연,20,시민덕희,카라멜,나초,콜라,조조,삼성페이
김현준,50,윙카,어니언,핫도그,스프라이트,조조,카카오페이
조승민,20,외계인,구매안함,나초,구매안함,조조,삼성페이
김미숙,30,윙카,구매안함,구매안함,구매안함,조조,삼성페이
장준서,20,도그맨,카라멜,구매안함,물,일반,체크카드
오경숙,30,윙카,일반,구매안함,스프라이트,일반,삼성페이
오정식,20,외계인,구매안함,핫도그,구매안함,조조,삼성페이
김순옥,20,윙카,치즈,구매안함,제로콜라,조조,체크카드
조성민,40,시민덕희,구매안함,구매안함,에이드,일반,체크카드
이현정,20,시민덕희,구매안함,맛밤,구매안함,심야,체크카드
홍병철,30,시민덕희,구매안함,구매안함,스프라이트,조조,삼성페이
문채원,20,윙카,일반,오징어,제로콜라,일반,체크카드
황주원,50,시민덕희,어니언,나초,에이드,조조,삼성페이
이영수,30,시민덕희,구매안함,오징어,제로콜라,일반,삼성페이
김서윤,30,시민덕희,구매안함,구매안함,제로콜라,일반,삼성페이
박정수,50,시민덕희,일반,맛밤,아메리카노,일반,신용카드
장순자,20,윙카,카라멜,핫도그,환타,심야,체크카드
김아름,20,윙카,구매안함,구매안함,에이드,심야,삼성페이
서지영,30,외계인,치즈,구매안함,콜라,조조,신용카드
김주원,20,윙카,구매안함,구매안함,물,일반,삼성페이
이시우,20,윙카,구매안함,구매안함,물,심야,삼성페이
윤정훈,20,도그맨,어니언,구매안함,구매안함,일반,삼성페이
김서영,20,윙카,구매안함,구매안함,콜라,일반,삼성페이
조중수,30,윙카,카라멜,구매안함,에이드,일반,삼성페이
한예진,20,시민덕희,일반,나초,환타,조조,삼성페이
박은지,40,윙카,일반,나초,환타,일반,체크카드
서지은,20,도그맨,구매안함,구매안함,콜라,일반,신용카드
김경희,30,외계인,구매안함,구매안함,스프라이트,일반,삼성페이
이지영,20,외계인,구매안함,구매안함,제로콜라,일반,신용카드
서지현,30,윙카,구매안함,구매안함,물,일반,현금
구예지,40,윙카,구매안함,핫도그,물,일반,신용카드
박은경,20,윙카,일반,구매안함,물,일반,신용카드
이지영,40,외계인,카라멜,구매안함,제로콜라,일반,신용카드
김지아,40,윙카,구매안함,구매안함,환타,일반,삼성페이
최재현,20,위시,일반,나초,물,조조,삼성페이
김영희,40,시민덕희,카라멜,오징어,물,일반,삼성페이
우민지,20,너의 이름은,카라멜,맛밤,콜라,일반,삼성페이
김시우,40,위시,치즈,구매안함,콜라,일반,삼성페이
이예준,20,시민덕희,카라멜,구매안함,스프라이트,심야,삼성페이
이진우,40,윙카,일반,구매안함,제로콜라,조조,삼성페이
윤현숙,30,윙카,일반,나초,에이드,일반,신용카드
박정식,30,윙카,일반,구매안함,환타,일반,신용카드
장하은,20,윙카,구매안함,나초,콜라,일반,삼성페이
최수민,20,시민덕희,치즈,오징어,구매안함,일반,신용카드
한명숙,20,시민덕희,구매안함,구매안함,아메리카노,일반,삼성페이
배지아,60,윙카,구매안함,나초,제로콜라,일반,신용카드
최준서,20,도그맨,구매안함,구매안함,제로콜라,일반,현금
김지혜,20,윙카,구매안함,구매안함,제로콜라,일반,체크카드
주순자,20,너의 이름은,카라멜,구매안함,에이드,일반,삼성페이
최숙자,20,시민덕희,일반,구매안함,아메리카노,심야,신용카드
최수빈,20,도그맨,치즈,핫도그,스프라이트,심야,체크카드
한옥자,20,도그맨,구매안함,맛밤,구매안함,일반,신용카드
이예은,30,도그맨,치즈,구매안함,물,일반,삼성페이
오성민,20,외계인,구매안함,맛밤,콜라,심야,삼성페이
송영길,20,윙카,치즈,구매안함,물,일반,삼성페이
김진우,20,시민덕희,일반,구매안함,환타,일반,삼성페이
허준영,50,시민덕희,카라멜,구매안함,물,일반,삼성페이
최민준,30,도그맨,일반,나초,콜라,심야,신용카드
이광수,20,윙카,구매안함,나초,제로콜라,일반,신용카드
강준호,20,시민덕희,구매안함,구매안함,제로콜라,일반,삼성페이
